Matricula,PROGRAMA EDUCATIVO,BAJA 1ER CUATRI,BAJA 2DO CUATRI,BAJA 3ER CUATRI,Estado civil,Hijos,Problema o padecimiento,Razonamiento matem‡tico,Razonamiento abstracto,R. Verbal,R. Espacial,Inform‡tica,C‡lculo,Comunicaci—n,Mec‡nico,Servicio,Finanzas,Trabaja,Ingreso mensual de padre,Ingreso mensual de madre,Ingresos mensuales familiares,UPQ Primera opci—n,Minutos de trayecto a la universidad,Probabilidad Baja (%)
124049915,4,,,,3,0,0,0,0.4,0.15,0.8,0.78,0.78,0.68,0.76,0.84,0.76,1,0,0.075,0.05,0,0.1875,7.185087204
124049171,1,,,,3,0,0,0.75,0.55,0.05,0.75,0.76,0.76,0.62,0.84,0.76,0.7,0,0.054166667,0,0.040625,1,0.01875,7.112555981
124049842,4,,,,3,0,0,0.85,0.7,0.1,0.95,0.68,0.7,0.36,0.6,0.72,0.48,0,0.266666667,0,0.2,0,0.125,7.092033386
124049977,1,,,,3,0,1,0.05,0.1,0.2,0.3,0.96,0.94,0.96,0.96,0.98,0.98,0,0.075,0,0.05625,0,0.09375,7.021275997
124048857,4,,,,3,0,0,0.9,0.75,0.4,0.9,0.82,0.68,0.76,0.92,0.9,0.74,0,0,0.125,0.15625,0,0.0625,7.011082649
124048729,4,,,,3,0,0,0.6,0.3,0.2,0.35,0.74,0.76,0.66,0.78,0.92,0.8,0,0.179166667,0,0,0,0.272916667,6.982031345
124050021,0,,,,3,0,1,0,0.55,0.25,0.95,0.76,0.84,0.66,0.72,0.72,0.82,1,0.083333333,0.1,0.1125,0,0.25,6.937325954
124050664,7,,,,3,0,0,0.8,0.3,0.2,0.75,0.46,0.66,0.6,0.4,0.62,0.58,0,0,0.075,0.0375,0,0.041666667,6.887479782
124049729,1,,,,3,0,0,0.9,0.2,0.1,0.4,0.56,0.56,0.64,0.64,0.66,0.7,1,0.058333333,0,0.1875,0,0.125,6.739855766
124049754,4,,,,3,0,0,0.35,0.01,0.02,0.1,0.78,0.74,0.8,0.82,0.68,0.7,0,0.75,0,0.5625,0,0.0625,6.535614491
124049983,6,,,,3,0,0,0.4,0.1,0.04,0.25,0.34,0.38,0.5,0.3,0.62,0.48,0,0,0,0,0,0.041666667,6.506474972
124048901,5,,,,3,0,0,0.1,0.03,0.3,0.2,0.56,0.5,0.6,0.52,0.72,0.6,0,0.01,0,0.03,0,0.083333333,6.498371601
124049258,7,,,,3,0,0,0.98,0.99,0.97,0.85,0.72,0.94,0.86,0.8,0.86,0.9,0,0.125,0.1625,0.1875,0,0.033333333,6.436116219
124049679,5,,,,3,0,0,0.35,0.25,0.01,0.3,0.5,0.28,0.4,0.44,0.68,0.4,0,0.083,0.1375,0.125,0,0.03125,6.393295288
124049220,5,,,,3,0,0,0.2,0.15,0.2,0.3,0.46,0.5,0.5,0.48,0.62,0.62,1,0.083333333,0,0.0625,0,0.041666667,6.31344986
124049973,5,,,,3,0,0,0.2,0.35,0.35,0.6,0.48,0.42,0.48,0.34,0.74,0.46,0,0.0625,0.09375,0.09375,0,0.0625,6.124334335
124048486,5,,,,3,0,0,0.85,0.1,0.01,0.05,0.66,0.74,0.86,0.66,0.94,0.72,0,0.125,0.25,0.1875,0,0.020833333,6.078244209
124049521,5,,,,3,0,0,0.9,0.4,0.35,0.2,0.38,0.42,0.38,0.28,0.54,0.34,1,0.104166667,0,0.078125,0,0.270833333,5.983368874
124050458,0,,,,3,0,0,0,0.3,0.05,0.15,0.54,0.5,0.58,0.38,0.7,0.58,1,0.175,0.15,0.20625,0,0.0625,5.961032867
124049084,4,,,,3,0,1,0.15,0.35,0.5,0.75,0.64,0.76,0.6,0.76,0.76,0.72,0,0.1,0,0.075,0,0.0625,5.932422161
124050024,4,,,,3,0,0,0.9,0.75,0.02,0.95,0.58,0.82,0.58,0.7,0.64,0.7,0,0.083333333,0.025,0.0625,0,0.1875,5.910367966
124049779,0,,,,3,0,0,0.75,0.35,0.25,0.3,0.64,0.68,0.58,0.56,0.82,0.72,0,0,0,0,1,0.041666667,5.862920284
124050373,2,,,,3,0,0,0,0.04,0.01,0.05,0.46,0.4,0.4,0.44,0.62,0.44,1,0.079166667,0.08375,0.065625,0,0.125,5.706560612
124050410,1,,,,3,0,0,0.6,0.2,0.35,0.35,0.58,0.68,0.62,0.58,0.8,0.48,0,0,0,0,1,0.041666667,5.581824303
124049626,5,,,,3,0,1,0,0.3,0.35,0.65,0.6,0.58,0.7,0.36,0.84,0.66,0,0.066666667,0,0.05,0,0.025,5.505137444
124050009,5,,,,3,0,0,0.6,0.15,0.02,0.35,0.44,0.48,0.46,0.34,0.72,0.52,1,0,0.075,0.034375,0,0.270833333,5.468570232
124050247,3,,,,3,0,0,0.55,0.55,0.15,0.8,0.72,0.64,0.56,0.82,0.88,0.72,1,0.066666667,0.025,0.125,1,0.020833333,5.380234718
124050321,3,,,,3,0,0,0.7,0.1,0.1,0.2,0.74,0.72,0.84,0.66,0.84,0.64,0,0,0.01875,0.15,1,0.041666667,5.360184193
124049202,1,,,,3,0,0,0.8,0.45,0.5,0.65,0.78,0.68,0.74,0.64,0.76,0.76,1,0,0,0,1,0.052083333,5.318278313
124048956,4,,,,3,0,0,0.9,0.9,0.25,0.8,0.68,0.76,0.6,0.72,0.52,0.78,0,0.166666667,0,0.125,0,0.0625,5.261556625
124050337,4,,,,3,0,0,0.98,0.8,0.25,0.75,0.54,0.72,0.48,0.6,0.66,0.6,0,0.166666667,0.25,0.25,0,0.25,5.223254681
124050430,1,,,,3,0,0,0.01,0.2,0.99,0.4,0.6,0.62,0.68,0.62,0.86,0.68,1,0.020833333,0,0,1,0.020833333,5.202044964
124046283,3,,,,3,0,0,0.25,0.45,0.3,0.2,0.56,0.64,0.64,0.6,0.56,0.56,1,0,0,0,1,0.052083333,5.10565424
124049335,0,,,,3,0,0,0.6,0.1,0.04,0.25,0.76,0.86,0.94,0.82,0.96,0.94,0,0.1,0.125,0.125,1,0,5.090376377
124048987,3,,,,3,0,0,0.7,0.1,0.25,0.8,0.68,0.72,0.72,0.8,0.92,0.72,1,0.25,0,0,1,0.041666667,5.05161047
124048782,3,,,,3,0,0,0.1,0.1,0.99,0.1,0.94,0.78,0.9,0.9,0.92,0.88,0,0.15,0,0.1125,1,0.041666667,4.95459795
124050344,7,,,,3,0,0,0.75,0.2,0.3,0.3,0.56,0.68,0.72,0.66,0.82,0.58,0,0.1,0.15,0,0,0.03125,4.92867136
124049222,4,,,,3,0,0,0.9,0.4,0.35,0.75,0.62,0.7,0.58,0.52,0.64,0.52,1,0.091666667,0,0.06875,0,0.083333333,4.910256863
124049314,1,,,,3,0,0,0,0.7,0.5,0.4,0.74,0.76,0.7,0.72,0.82,0.74,1,0,0.15,0.075,1,0.052083333,4.887014389
123048676,5,,,,3,0,0,0.55,0.15,0.04,0.2,0.42,0.24,0.56,0.34,0.7,0.74,0,0.106666667,0.165,0.1625,0,0.125,4.842359066
124049709,4,,,,3,0,0,0.75,0.75,0.3,0.6,0.46,0.84,0.54,0.66,0.9,0.62,1,0.1,0.25,0.2125,0,0.0625,4.770917892
124050417,1,,,,3,0,0,0.6,0.4,0.1,0.99,0.54,0.68,0.62,0.72,0.76,0.7,1,0.083333333,0.125,0,1,0.03125,4.762916088
124050263,0,,,,3,0,0,0.85,0.55,0.3,0.2,0.42,0.6,0.52,0.36,0.78,0.5,0,0,0,0,1,0.052083333,4.750702858
124049030,1,,,,3,0,0,0.4,0.45,0.55,0.7,0.62,0.74,0.56,0.84,0.64,0.58,1,0,0,0,1,0.125,4.741522312
124049623,3,,,,3,0,0,0.55,0.4,0.15,0.8,0.74,0.72,0.62,0.56,0.88,0.68,0,0.15,0.075,0,1,0.083333333,4.685970306
124049954,1,,,,3,0,0,0.55,0.55,0.01,0.75,0.58,0.5,0.76,0.56,0.86,0.72,0,0,0.1875,0,1,0.0625,4.650732517
124050566,0,,,,3,0,0,0.85,0.4,0.1,0.55,0.74,0.76,0.62,0.54,0.78,0.58,0,0.083333333,0.1,0.1125,1,0.020833333,4.641456604
124049370,4,,,,3,0,0,0.99,0.9,0.3,0.75,0.62,0.76,0.56,0.7,0.64,0.66,0,0.416666667,0,0.3125,0,0.083333333,4.628116608
