Matricula,PROGRAMA EDUCATIVO,BAJA 1ER CUATRI,BAJA 2DO CUATRI,BAJA 3ER CUATRI,Estado civil,Hijos,Problema o padecimiento,Razonamiento matem‡tico,Razonamiento abstracto,R. Verbal,R. Espacial,Inform‡tica,C‡lculo,Comunicaci—n,Mec‡nico,Servicio,Finanzas,Trabaja,Ingreso mensual de padre,Ingreso mensual de madre,Ingresos mensuales familiares,UPQ Primera opci—n,Minutos de trayecto a la universidad,Probabilidad Baja (%)
124049075,0,,,,3,0,0,0.9,0.75,0.05,0.8,0.38,0.66,0.5,0.46,0.82,0.54,0,0.05,0.05,0.04375,1,0.0625,3.754565954
124049782,3,,,,3,0,0,0.7,0.15,0.15,0.1,0.52,0.54,0.52,0.5,0.7,0.5,0,0.25,0,0.1875,1,0.03125,3.754173994
124049564,1,,,,3,0,0,0.35,0.35,0.15,0.55,0.5,0.44,0.46,0.66,0.6,0.52,1,0,0.125,0.0625,1,0.03125,3.747277975
124050584,5,,,,3,0,0,0.97,0.7,0.2,0.9,0.56,0.82,0.7,0.6,0.7,0.68,1,0.1,0,0.08125,0,0.25,3.737583637
124048801,1,,,,3,0,0,0.6,0.35,0.15,0.1,0.58,0.42,0.44,0.46,0.78,0.6,0,0.058333333,0.075,0.08125,1,0.041666667,3.729746103
124050010,0,,,,3,0,0,0.9,0.35,0.15,0.65,0.74,0.66,0.78,0.72,0.8,0.68,0,0.054166667,0.175,0.125,1,0.041666667,3.727131605
124049124,1,,,,3,0,0,0.6,0.4,0.25,0.55,0.86,0.86,0.82,0.86,0.88,0.74,0,0.083333333,0.1875,0.15625,1,0.041666667,3.725355864
124049415,1,,,,3,0,0,0.8,0.4,0.5,0.75,0.6,0.64,0.54,0.54,0.86,0.58,0,0,0.10625,0.1625,1,0.25,3.70281601
124048997,1,,,,3,0,0,0.35,0.04,0.04,0.35,0.68,0.74,0.92,0.76,0.88,0.7,1,0,0,0,1,0.052083333,3.691597223
124050530,5,,,,3,0,0,0.75,0.2,0.4,0.6,0.64,0.5,0.84,0.48,0.72,0.68,1,0.083333333,0.1,0.1125,0,0.09375,3.68578434
124049603,4,,,,3,0,0,0.55,0.01,0.25,0.05,0.66,0.68,0.58,0.72,0.72,0.56,0,0,0,0,1,0.072916667,3.663055182
124049159,1,,,,3,0,0,0.55,0.55,0.04,0.35,0.56,0.72,0.56,0.7,0.72,0.66,1,0.041666667,0.2,0.14375,1,0.03125,3.654187202
124050494,0,,,,3,0,0,0.25,0.02,0.15,0.1,0.68,0.58,0.68,0.62,0.78,0.64,1,0.054166667,0,0.0375,1,0.03125,3.648992538
124050170,4,,,,3,0,0,0.6,0.1,0.05,0.75,0.58,0.5,0.64,0.64,0.72,0.62,0,0,0,0,1,0.083333333,3.640715837
124050099,3,,,,3,0,0,0.4,0.35,0.04,0.45,0.42,0.54,0.46,0.58,0.56,0.52,0,0.093333333,0,0.07,1,0.052083333,3.638366222
124050737,0,,,,3,0,0,0.8,0.3,0.04,0.55,0.78,0.76,0.86,0.64,0.84,0.76,0,0.083333333,0,0.0625,1,0.1875,3.632235527
124048625,1,,,,3,0,0,0.55,0.15,0.1,0.85,0.74,0.78,0.7,0.82,0.74,0.78,1,0.033333333,0,0.025,1,0.125,3.631595135
124049590,4,,,,3,0,0,0.6,0.15,0.15,0.2,0.44,0.62,0.6,0.6,0.7,0.62,1,0,0,0,1,0.041666667,3.621460438
124048963,1,,,,3,0,0,0.1,0.35,0.4,0.35,0.7,0.74,0.6,0.52,0.84,0.68,0,0,0.125,0.0625,1,0.0625,3.617506504
124050461,5,,,,3,0,0,0,0.2,0.2,0.4,0.42,0.5,0.92,0.58,0.78,0.78,0,0.133333333,0,0.1,0,0.3125,3.61168766
124049607,3,,,,3,0,0,0.85,0.3,0.3,0.25,0.72,0.66,0.5,0.58,0.68,0.54,0,0.058333333,0,0.04375,1,0.0625,3.606994867
124049536,1,,,,3,0,0,0.35,0.04,0.02,0.1,0.86,0.66,0.66,0.82,0.68,0.76,0,0.25,0.01875,0.196875,1,0.041666667,3.599287987
124048764,1,,,,3,0,0,0.6,0.95,0.2,0.9,0.62,0.62,0.5,0.64,0.8,0.6,0,0,0,0,1,0.625,3.586983204
124049582,0,,,,3,0,0,0.85,0.15,0.01,0.15,0.76,0.54,0.66,0.74,0.84,0.68,0,0.25,0.125,0.25,1,0,3.579783916
124050033,1,,,,3,0,0,0.4,0.8,0.15,0.96,0.7,0.74,0.78,0.78,0.72,0.8,1,0.066666667,0.1125,0,1,0.1875,3.578760386
124049297,1,,,,3,0,0,0.35,0.1,0.35,0.75,0.62,0.72,0.58,0.78,0.78,0.72,0,0.133333333,0.125,0.1625,1,0.0625,3.562467813
124048952,0,,,,3,0,0,0.8,0.3,0.1,0.7,0.58,0.64,0.76,0.6,0.84,0.8,1,0.083333333,0.075,0.1,1,0.0625,3.562184811
124049288,4,,,,3,0,0,0.98,0.45,0.35,0.95,0.74,0.74,0.58,0.8,0.76,0.78,0,0.166666667,0,0.125,0,0.25,3.560351133
124050317,2,,,,3,0,0,0.55,0.2,0.9,0.85,0.74,0.68,0.9,0.82,1,0.8,0,0.0375,0.125,0.125,1,0.166666667,3.556993246
124048936,1,,,,3,0,0,0.15,0.35,0.1,0.6,0.76,0.72,0.62,0.72,0.8,0.66,0,0,0.04375,0.021875,1,0.083333333,3.545588732
124049464,3,,,,3,0,0,0.6,0.4,0.05,0.35,0.64,0.76,0.74,0.78,0.82,0.82,0,0.066666667,0.1,0.1,1,0.125,3.54433322
124049894,1,,,,3,0,0,0.85,0.25,0.1,0.85,0.72,0.76,0.76,0.88,0.84,0.76,0,0.0625,0,0.046875,1,0.125,3.535871267
124048982,0,,,,3,0,0,0.9,0.7,0.25,0.7,0.68,0.82,0.86,0.48,1,0.64,0,0.125,0,0.09375,1,0.125,3.534352303
124049584,0,,,,3,0,0,0.35,0.75,0.35,0.35,0.52,0.8,0.76,0.44,0.86,0.8,1,0.108333333,0,0.09375,1,0.03125,3.532425642
124049224,5,,,,3,0,0,0.75,0.01,0.2,0.05,0.7,0.68,0.72,0.58,0.7,0.76,0,0.041666667,0,0.00003125,1,0.041666667,3.530032873
124050401,1,,,,3,0,0,0.9,0.55,0.02,0.75,0.68,0.68,0.62,0.8,0.78,0.7,0,0.033333333,0.05,0.05,1,0.145833333,3.529419422
124049788,0,,,,3,0,0,0.6,0.25,0.15,0.3,0.52,0.78,0.48,0.52,0.7,0.56,0,0.066666667,0,0,1,0.083333333,3.515402317
124050017,0,,,,3,0,0,0.2,0.02,0.04,0.25,0.68,0.68,0.66,0.58,0.92,0.64,0,0.05,0.05,0.0625,1,0.041666667,3.501893282
124050045,0,,,,3,0,0,0.85,0.03,0.2,0.15,0.66,0.64,0.68,0.6,0.78,0.78,0,0.083333333,0,0.0625,1,0.0625,3.499109268
124050095,3,,,,3,0,0,0.1,0.03,0.99,0.4,0.88,0.64,0.64,0.78,0.88,0.6,0,0.125,0.15,0.16875,1,0.083333333,3.499012709
124050036,0,,,,3,0,0,0.7,0.1,0.01,0.05,0.52,0.46,0.8,0.54,1,0.64,0,0.05,0.025,0.05,1,0.0625,3.49484086
124049234,3,,,,3,0,0,0.85,0.01,0.15,0.15,0.88,0.82,0.96,0.76,0.88,0.88,0,0.020833333,0.02875,0.034375,1,0.0625,3.473466635
124050383,0,,,,3,0,0,0.15,0.03,0.01,0.15,0.64,0.66,0.62,0.6,0.64,0.64,1,0.041666667,0.0375,0.01875,1,0.03125,3.462569714
124048800,0,,,,3,0,0,0.85,0.25,0.25,0.45,0.76,0.68,0.8,0.76,0.84,0.74,1,0.066666667,0,0.075,1,0.041666667,3.461613894
124049070,1,,,,3,0,0,0.85,0.75,0.1,0.6,0.68,0.68,0.72,0.74,0.68,0.78,0,0.083333333,0.1125,0.11875,1,0.072916667,3.456852913
124049859,5,,,,3,0,1,0.35,0.02,0.1,0.1,0.7,0.5,0.74,0.36,0.96,0.44,1,0,0,0,0,0.25,3.454611063
124049268,3,,,,3,0,0,0.4,0.1,0.02,0.35,0.58,0.6,0.6,0.66,0.72,0.68,1,0.025,0,0.025,1,0.052083333,3.443411827
124048962,3,,,,3,0,0,0,0.15,0.2,0.1,0.64,0.66,0.62,0.64,0.64,0.7,0,0,0.0875,0,1,0.25,3.432952166
124048674,0,,,,3,0,0,0.85,0.04,0.1,0.2,0.7,0.62,0.76,0.54,0.9,0.8,0,0.041666667,0.05,0.05625,1,0.0625,3.419101715
124049651,1,,,,3,0,0,0.01,0.02,0.1,0.05,0.78,0.6,0.62,0.78,0.78,0.6,1,0,0,0,1,0.052083333,3.398352385
124048871,0,,,,3,0,0,0.4,0.1,0.01,0.1,0.56,0.52,0.56,0.58,0.6,0.6,0,0.016666667,0.01875,0.01875,1,0.04375,3.397954941
124049346,1,,,,3,0,0,0.9,0.2,0.1,0.35,0.52,0.62,0.54,0.64,0.62,0.58,0,0.029166667,0,0.021875,1,0.052083333,3.397357464
124050544,0,,,,3,0,0,0.75,0.2,0.2,0.1,0.68,0.6,0.56,0.48,0.68,0.62,0,0.033333333,0,0.025,1,0.3125,3.38740468
124049566,1,,,,3,0,0,0.01,0.25,0.01,0.55,0.64,0.64,0.76,0.8,0.78,0.66,0,0.041666667,0.0625,0.03125,1,0.0625,3.384379387
124049162,1,,,,3,0,0,0,0.25,0.9,0.6,0.64,0.8,0.66,0.88,0.76,0.72,1,0.166666667,0,0.125,1,0.25,3.364328384
124048975,3,,,,3,0,0,0.35,0.04,0.2,0.4,0.6,0.58,0.64,0.96,0.68,0.82,0,0.166666667,0,0.1875,1,0.03125,3.36079073
124050151,1,,,,3,0,0,0,0.55,0.05,0.8,0.4,0.28,0.7,0.6,0.68,0.54,0,0.058333333,0,0.04375,1,0.083333333,3.358617783
124049389,2,,,,3,0,0,0,0.25,0.15,0.1,0.6,0.68,0.52,0.56,0.62,0.6,0,0.083333333,0,0,1,0.25,3.35785079
124049871,1,,,,3,0,0,0.35,0.1,0.2,0.2,0.72,0.88,0.86,0.92,0.84,0.82,1,0.133333333,0.0875,0.14375,1,0.041666667,3.355096579
124049790,1,,,,3,0,0,0.35,0.15,0.1,0.2,0.54,0.68,0.62,0.58,0.72,0.68,0,0,0,0,1,0.083333333,3.35004878
124050548,0,,,,3,0,0,0.55,0.2,0.1,0.5,0.62,0.74,0.56,0.44,0.62,0.72,0,0.05,0.1,0.0396875,1,0.0625,3.350035429
124050188,1,,,,3,0,0,0.25,0.6,0.01,0.8,0.62,0.66,0.56,0.68,0.72,0.64,1,0.25,0,0.1875,1,0.083333333,3.343374252
124050487,4,,,,3,0,0,0.4,0.2,0.35,0.45,0.62,0.54,0.58,0.6,0.66,0.62,0,0.066666667,0,0.0625,1,0.03125,3.342034578
124050611,0,,,,3,0,0,0.4,0.02,0.01,0.05,0.56,0.7,0.58,0.5,0.7,0.52,0,0.091666667,0.075,0.10625,1,0.041666667,3.339157343
124049985,0,,,,3,0,0,0.15,0.35,0.4,0.75,0.64,0.66,0.72,0.72,0.7,0.64,0,0.058333333,0,0.0375,1,0.1875,3.303493977
124049003,0,,,,3,0,0,0.55,0.1,0.15,0.4,0.46,0.52,0.68,0.54,0.78,0.6,0,0.05,0,0.05625,1,0.052083333,3.300526381
124050144,1,,,,3,0,0,0.25,0.04,0.1,0.85,0.56,0.56,0.58,0.86,0.82,0.74,1,0,0.075,0.053125,1,0.0625,3.296164513
124049957,1,,,,3,0,0,0.2,0.25,0.01,0.15,0.44,0.6,0.52,0.5,0.56,0.48,1,0,0.0375,0,1,0.041666667,3.289282799
124049024,1,,,,3,0,0,0,0.15,0.2,0.2,0.92,0.94,0.88,1,1,0.94,0,0.15,0.1,0.1625,1,0.072916667,3.273699522
124050433,0,,,,3,0,1,0.4,0.6,0.01,0.65,0.72,0.74,0.74,0.74,0.78,0.74,1,0,0,0,1,0.041666667,3.268100262
124048716,3,,,,3,0,0,0.35,0.02,0.05,0.1,0.74,0.8,0.76,0.8,0.76,0.78,1,0.025,0,0,1,0.5,3.262837887
124050395,1,,,,3,0,0,0.85,0.3,0.15,0.75,0.78,0.72,0.7,0.76,0.76,0.76,1,0.125,0.0625,0.125,1,0.0625,3.259215832
124049060,6,,,,3,0,0,0.8,0.45,0.96,0.2,0.54,0.7,0.8,0.66,0.8,0.7,1,0.416666667,0.1875,0.3125,0,0.09375,3.257515907
124048743,1,,,,3,0,0,0.7,0.35,0.05,0.01,0.56,0.52,0.5,0.7,0.7,0.6,1,0.025,0.125,0.10625,1,0.0625,3.25635004
124049430,0,,,,3,0,0,0.9,0.8,0.35,0.85,0.56,0.96,0.8,0.66,0.92,0.82,0,0.25,0,0.1875,1,0.03125,3.246722698
124049125,1,,,,3,0,1,0.75,0.1,0.02,0.2,0.68,0.8,0.76,0.84,0.82,0.74,1,0.05,0.075,0,1,0,3.242128611
124050207,1,,,,3,0,0,0,0.55,0.2,0.65,0.58,0.52,0.56,0.8,0.74,0.66,0,0.158333333,0,0.11875,1,0.072916667,3.241886854
124050251,3,,,,3,0,0,0.85,0.25,0.65,0.6,0.56,0.64,0.48,0.7,0.74,0.56,0,0.108333333,0.15,0.15625,1,0.03125,3.239923
124050306,3,,,,3,1,0,0.01,0.02,0.99,0.99,0.88,0.62,0.62,0.74,0.86,0.72,0,0.125,0.09375,0.21875,1,0.041666667,3.237382412
124049251,0,,,,3,0,0,0.9,0.45,0.05,0.95,0.58,0.66,0.66,0.52,0.66,0.72,0,0.033333333,0.05,0.05,1,0.083333333,3.224994898
124048863,1,,,,3,0,0,0.9,0.85,0.2,0.75,0.72,0.8,0.76,0.88,0.82,0.76,0,0.066666667,0.0625,0.08125,1,0.0625,3.220348358
124050497,2,,,,3,0,0,0.35,0.1,0.15,0.1,0.4,0.52,0.58,0.62,0.74,0.58,1,0,0.125,0.0625,1,0.041666667,3.208353281
124049629,4,,,,3,0,0,0,0.85,0.3,0.96,0.58,0.78,0.52,0.54,0.82,0.5,0,0.066666667,0.075,0.0875,1,0.0625,3.19772625
124048903,0,,,,3,0,0,0.7,0.03,0.96,0.1,0.6,0.64,0.82,0.5,0.76,0.72,0,0.166666667,0.125,0.125,1,0.125,3.197426796
124049891,0,,,,3,0,0,0,0.4,0.55,0.6,0.9,0.86,0.96,0.88,0.94,0.92,1,0.075,0.0625,0.09375,1,0.3125,3.196866035
124049123,1,,,,3,0,0,0.85,0.4,0.25,0.6,0.68,0.66,0.74,0.72,0.94,0.78,0,0,0,0.05,1,0.083333333,3.196034908
124049231,0,,,,3,0,0,0.15,0.1,0.2,0.4,0.8,0.7,0.74,0.74,0.82,0.78,0,0.083333333,0.125,0.125,1,0.03125,3.19102478
124050198,1,,,,3,0,0,0.8,0.15,0.1,0.15,0.9,0.66,0.74,0.62,0.66,0.74,0,0.1,0.175,0.125,1,0.229166667,3.177654743
124049485,1,,,,3,0,0,0.35,0.2,0.05,0.2,0.58,0.68,0.68,0.7,0.74,0.6,0,0.1,0.15,0.15,1,0.041666667,3.173534632
124049239,0,,,,3,0,0,0.2,0.01,0.01,0.05,0.98,1,0.92,0.98,1,1,0,0.05,0.0125,0.03125,1,0.083333333,3.173226118
124048778,4,,,,3,0,0,0,0.4,0.99,0.55,0.66,0.68,0.7,0.66,0.68,0.72,1,0.058333333,0.05625,0.071875,1,0.045833333,3.163293839
124049241,0,,,,3,0,0,0.4,0.55,0.3,0.4,0.7,0.82,0.64,0.6,0.8,0.8,1,0.033333333,0.075,0.0625,1,0.0625,3.159802675
124048570,1,,,,3,0,0,0.2,0.25,0.25,0.3,0.68,0.66,0.5,0.8,0.78,0.66,1,0,0.075,0.075,1,0.052083333,3.14407897
124050326,4,,,,3,0,0,0.25,0.55,0.1,0.7,0.74,0.58,0.66,0.62,0.66,0.6,0,0.020833333,0,0.01875,1,0.083333333,3.142919302
124050248,1,,,,3,0,0,0.9,0.7,0.3,0.85,0.64,0.8,0.66,0.84,0.74,0.72,1,0.125,0.125,0.15625,1,0.03125,3.141470194
124048463,1,,,,3,0,0,0.7,0.55,0.85,0.55,0.98,0.78,0.86,0.98,0.98,0.9,0,0.166666667,0,0,1,0.125,3.134799004
124049186,0,,,,3,0,0,0.85,0.15,0.25,0.2,0.28,0.48,0.56,0.34,0.6,0.6,0,0.066666667,0.045,0.0625,1,0.052083333,3.131560564
124049344,4,,,,3,0,0,0.98,0.75,0.25,0.8,0.68,0.76,0.64,0.72,0.82,0.48,0,0,0,0,1,0.03125,3.121822357
124048907,1,,,,3,0,0,0.35,0.3,0.1,0.8,0.6,0.64,0.78,0.8,0.78,0.7,0,0,0.3375,0.16875,1,0.0625,3.118036032
124048810,4,,,,3,0,0,0.1,0.01,0.2,0.05,0.7,0.74,0.72,0.8,0.74,0.72,1,0.108333333,0,0.09375,1,0.020833333,3.117703438
124049513,4,,,,3,0,0,0.85,0.1,0.1,0.7,0.48,0.54,0.54,0.64,0.6,0.58,0,0,0,0,1,0.208333333,3.111915588
124048766,2,,,,3,0,0,0.75,0.75,0.8,0.4,0.7,0.78,0.48,0.74,0.92,0.64,1,0,0.1,0.0625,1,0.041666667,3.108778477
124048728,4,,,,3,0,0,0.1,0.15,0.99,0.7,0.8,0.64,0.78,0.98,0.8,0.86,1,0,0,0,1,0.125,3.103018761
124050000,0,,,,3,0,0,0.9,0.4,0.65,0.5,0.48,0.56,0.78,0.86,0.8,0.76,1,0.108333333,0.1,0.15625,1,0.010416667,3.085583687
124048679,3,,,,3,0,0,0.9,0.55,0.25,0.75,0.46,0.6,0.42,0.52,0.92,0.44,0,0,0,0.09375,1,0.052083333,3.083940268
124049269,1,,,,3,0,0,0.15,0.01,0.1,0.05,0.44,0.58,0.52,0.84,0.72,0.64,1,0.083333333,0,0.0625,1,0.03125,3.079581976
124049649,0,,,,3,0,0,0,0.01,0.02,0.05,0.6,0.54,0.58,0.54,0.68,0.6,0,0.020833333,0,0,1,0.041666667,3.074340343
124049976,4,,,,3,0,0,0.1,0.75,0.35,0.75,0.62,0.66,0.78,0.78,0.78,0.76,0,0.1,0.125,0.09375,1,0.0625,3.072583199
124049152,0,,,,3,0,0,0.9,0.4,0.1,0.55,0.44,0.64,0.38,0.44,0.72,0.42,0,0.1,0.0625,0.10625,1,0.041666667,3.066462994
124048904,4,,,,3,0,0,0.75,0.3,0.04,0.75,0.62,0.7,0.68,0.82,0.88,0.76,1,0.083333333,0,0,1,0.0625,3.059754133
124049863,0,,,,3,0,0,0.75,0.15,0.1,0.1,0.52,0.5,0.78,0.42,0.84,0.64,1,0,0,0,1,0.072916667,3.056579828
124049147,1,,,,3,0,0,0.75,0.35,0.3,0.75,0.98,1,0.96,0.98,1,0.98,1,0.075,0,0.05625,1,0.083333333,3.050907373
124049873,1,,,,3,0,0,0.9,0.4,0.4,0.7,0.8,0.8,0.84,0.82,0.92,0.78,0,0.125,0,0.09375,1,0.0625,3.048176765
124049989,1,,,,3,0,0,0.15,0.01,0.15,0.35,0.6,0.7,0.72,0.64,0.84,0.7,0,0.066666667,0,0.05,1,0.0625,3.040986776
124049633,1,,,,3,0,0,0.6,0.3,0.05,0.45,0.82,0.8,0.82,0.84,0.84,0.8,1,0.035,0,0.02625,1,0.125,3.037195921
124048950,1,,,,3,0,0,0.9,0.4,0.1,0.75,0.8,0.94,0.74,0.88,0.74,0.72,0,0.166666667,0.0625,0.15625,1,0.125,3.018831015
124049285,3,,,,3,0,0,0.1,0.2,0.15,0.35,0.64,0.86,0.82,0.78,0.94,0.74,0,0.291666667,0,0,1,0.0625,3.013563871
124050612,1,,,,3,0,0,0.6,0.45,0.55,0.95,0.72,0.76,0.78,0.88,0.9,0.8,0,0,0.3125,0.15625,1,0.03125,3.008129358
124049936,1,,,,3,0,0,0,0.4,0.02,0.96,0.72,0.72,0.6,0.64,0.78,0.58,1,0.041666667,0.125,0.065625,1,0.1875,3.002498388
124049214,4,,,,3,0,0,0.85,0.55,0.25,0.85,0.92,0.7,0.8,0.98,0.9,0.94,1,0,0,0,1,0,2.998715162
124048996,1,,,,3,0,0,0.6,0.15,0.3,0.55,0.74,0.74,0.84,0.8,0.78,0.76,1,0.116666667,0,0.0875,1,0.125,2.994894266
124048966,4,,,,3,0,0,0.2,0.15,0.01,0.1,0.48,0.6,0.52,0.5,0.6,0.48,0,0.020833333,0,0,1,0.041666667,2.977699995
124049682,3,,,,3,0,0,0,0.9,0.2,0.98,0.6,0.58,0.62,0.64,0.76,0.6,1,0.1,0.125,0.0625,1,0.125,2.975301027
124049955,0,,,,3,0,0,0.35,0.1,0.96,0.05,0.54,0.54,0.4,0.4,0.7,0.48,0,0.016666667,0.0125,0.015625,1,0.0625,2.970847368
124048752,0,,,,3,0,0,0.1,0.01,0.2,0.05,0.52,0.5,0.56,0.54,0.72,0.56,0,0.083333333,0,0.0625,1,0.041666667,2.968092442
124048760,0,,,,3,0,0,0.85,0.3,0.3,0.25,0.42,0.48,0.72,0.44,0.76,0.74,1,0,0.05,0.06875,1,0.045833333,2.966418028
124050022,4,,,,3,0,0,0.7,0.4,0.1,0.8,0.56,0.66,0.46,0.76,0.7,0.44,0,0.1,0,0.075,1,0.0625,2.944081068
124049371,4,,,,3,0,0,0,0.85,0.2,0.85,0.64,0.76,0.62,0.9,0.8,0.72,0,0.166666667,0,0.125,1,0.166666667,2.943674326
124050274,0,,,,3,0,0,0.25,0.6,0.1,0.7,0.44,0.26,0.4,0.52,0.58,0.4,0,0.066666667,0,0.05,1,0.09375,2.943070173
124049605,4,,,,3,0,0,0.85,0.55,0.35,0.8,0.64,0.74,0.7,0.74,0.86,0.74,0,0,0,0,1,0.03125,2.940701962
124049316,1,,,,3,0,0,0.35,0.55,0.04,0.75,0.78,0.86,0.66,0.8,0.98,0.58,0,0.166666667,0.3125,0.28125,1,0.0625,2.940565825
124049133,3,,,,3,0,0,0.35,0.2,0.01,0.1,0.62,0.68,0.62,0.72,0.7,0.64,0,0.1,0.15,0.15,1,0.104166667,2.922727585
124050164,0,,,,3,0,0,0.4,0.4,0.4,0.4,0.66,0.84,0.74,0.62,0.86,0.86,0,0.208333333,0,0.15625,1,0.052083333,2.922196627
124050025,3,,,,3,0,0,0.35,0.25,0.01,0.05,0.64,0.52,0.82,0.9,0.76,0.8,1,0.058333333,0.0875,0.09375,1,0.0625,2.919837236
124050211,0,,,,3,0,0,0.6,0.75,0.9,0.9,0.5,0.5,0.36,0.68,0.66,0.44,0,0.066666667,0,0.05,1,0.25,2.918114424
124049518,3,,,,3,0,0,0.15,0.1,0.02,0.2,0.66,0.64,0.72,0.72,0.72,0.74,0,0.033333333,0.05,0.05,1,0.083333333,2.917611122
124049829,2,,,,3,0,0,0.1,0.02,0.1,0.25,0.76,0.9,0.84,0.68,0.9,0.98,0,0,0.09375,0.046875,1,0.3125,2.917204618
124049068,4,,,,3,0,0,0.2,0.4,0.25,0.8,0.58,0.58,0.52,0.62,0.7,0.62,0,0.066666667,0.025,0.0625,1,0.0625,2.905831575
124049699,1,,,,3,0,0,0.85,0.3,0.15,0.2,0.66,0.56,0.68,0.74,0.7,0.66,1,0.125,0.05625,0.15625,1,0.041666667,2.898658752
124049627,1,,,,3,0,0,0.6,0.25,0.1,0.2,0.62,0.66,0.62,0.78,0.7,0.62,0,0.145833333,0.10625,0.1875,1,0.25,2.896838903
124049677,5,,,,3,0,0,0.01,0.1,0.04,0.55,0.46,0.48,0.44,0.68,0.76,0.52,0,0.083333333,0,0.0625,1,0,2.890814304
124049784,0,,,,3,0,0,0,0.15,0.3,0.7,0.64,0.96,0.98,0.48,0.76,0.9,0,0,0.1125,0.05625,1,0.083333333,2.887765408
124048911,4,,,,3,0,0,0.6,0.15,0.01,0.85,0.62,0.56,0.54,0.56,0.7,0.6,0,0.058333333,0.0625,0.0625,1,0.083333333,2.884672403
124050528,3,,,,3,0,0,0.2,0.02,0.99,0.35,0.5,0.58,0.3,0.38,0.76,0.32,0,0.14,0,0.105,1,0.083333333,2.882564783
124050146,4,,,,3,0,0,0.55,0.4,0.05,0.98,0.72,0.66,0.6,0.94,0.82,0.72,0,0.075,0.075,0.075,1,0.0625,2.861030579
124050050,1,,,,3,0,0,0.8,0.3,0.3,0.05,0.58,0.74,0.54,0.56,0.84,0.52,0,0.125,0.125,0.15625,1,0.125,2.856054068
124048960,3,,,,3,0,0,0.75,0.04,0.04,0.4,0.46,0.58,0.44,0.52,0.8,0.5,0,0.066666667,0.1,0.05,1,0.0625,2.853020191
124050615,4,,,,3,0,0,0.7,0.45,0.1,0.9,0.76,0.74,0.6,0.8,0.72,0.76,0,0.075,0,0.05625,1,0.083333333,2.851047277
124050493,1,,,,3,0,0,0.55,0.25,0.1,0.1,0.6,0.84,1,1,1,0.9,1,0.1,0.125,0.09375,1,0.125,2.850010872
124049622,0,,,,3,0,0,0.25,0.15,0.15,0.5,0.94,0.92,0.84,0.7,0.98,0.74,0,0.083333333,0.25,0.1875,1,0.09375,2.847900629
124049004,4,,,,3,0,0,0.2,0.55,0.25,0.2,0.48,0.52,0.58,0.5,0.66,0.56,1,0,0.05,0.05,1,0.0625,2.841590643
124050131,3,,,,3,0,0,0.15,0.15,0.3,0.5,0.36,0.68,0.64,0.56,0.72,0.62,0,0,0.15,0.075,1,0.25,2.83006382
124050038,0,,,,3,0,0,0.99,0.45,0.5,0.65,0.66,0.68,0.8,0.62,0.88,0.76,0,0.125,0.125,0.15625,1,0.104166667,2.826180935
124050357,5,,,,3,0,0,0,0.2,0.05,0.8,0.58,0.52,0.5,0.38,0.56,0.48,0,0,0,0,1,0.0625,2.817980289
124049038,0,,,,3,0,0,0.8,0.02,0.05,0.15,0.54,0.66,0.64,0.56,0.76,0.68,0,0.041666667,0.0375,0.05,1,0.25,2.816709518
124050340,4,,,,3,0,0,0.15,0.15,0.98,0.55,0.68,0.66,0.64,0.7,0.7,0.72,1,0.05,0.05,0.05625,1,0.0625,2.816575766
124049352,1,,,,3,0,0,0.15,0.03,0.02,0.05,0.84,0.9,0.86,0.86,0.86,0.82,1,0,0,0,1,0.125,2.794394732
124049294,1,,,,3,0,0,0.4,0.3,0.04,0.6,0.44,0.44,0.24,0.7,0.6,0.46,0,0.066666667,0,0.05,1,0.125,2.792271137
124049753,2,,,,3,0,0,0,0.35,0.3,0.15,0.58,0.72,0.68,0.82,0.98,0.8,0,0.016666667,0.0225,0.02375,1,0.083333333,2.788649797
124048841,1,,,,3,0,0,0.9,0.6,0.7,0.55,0.66,0.78,0.56,0.76,0.72,0.52,0,0.158333333,0.1125,0.175,1,0.09375,2.788611889
124049911,0,,,,3,0,0,0.35,0.01,0.04,0.05,0.82,0.74,0.92,0.68,0.98,0.86,0,0.075,0,0.05625,1,0.125,2.785302877
124049267,5,,,,3,0,0,0.75,0.04,0.98,0.1,0.54,0.52,0.62,0.58,0.82,0.66,1,0,0,0,1,0.052083333,2.773660183
124049380,0,,,,3,0,0,0.35,0.01,0.3,0.01,0.72,0.44,0.7,0.5,0.78,0.72,1,0.066666667,0,0.0625,1,0.0625,2.772619486
124050353,1,,,,3,0,0,0.1,0.15,0.1,0.15,0.44,0.36,0.5,0.52,0.66,0.46,1,0.041666667,0.0625,0.03125,1,0.020833333,2.751361132
124049725,1,,,,3,0,0,0.6,0.9,0.1,0.85,0.9,0.7,0.92,0.88,0.98,0.9,1,0.041666667,0.0875,0.075,1,0.083333333,2.749822617
124049602,0,,,,3,0,0,0.15,0.1,0.99,0.05,0.58,0.64,0.64,0.58,0.68,0.76,0,0.125,0,0.05,1,0.166666667,2.741070747
124050066,3,,,,3,0,0,0,0.25,0.85,0.2,0.54,0.48,0.54,0.6,0.76,0.34,1,0.15,0.2,0.1875,1,0.041666667,2.740562439
