Folio;Proceso;ESTATUS DE INGRESO;BAJA 1ER CUATRI;BAJA 2DO CUATRI;BAJA 3ER CUATRI;PROGRAMA EDUCATIVO;Fecha de nacimiento;Género;Estado civil;Hijos;Número de hijos;Edades de los hijos;Ciudad de origen;Estado de origen;Trabaja;Trabajo;Horario;Turno;Salario mensual;Dependientes económicos;Número de dependientes económicos;Casa;Vive con;Número de personas con quien vive;Persona 1 con quien vive;Persona 2 con quien vive;Persona 3 con quien vive;Persona 4 con quien vive;Persona 5 con quien vive;Persona 6 con quien vive;Persona 7 con quien vive;Persona 8 con quien vive;Persona 9 con quien vive;Persona 10 con quien vive;Dormitorio compartido;¿Con cuántos?;Agua potable;Luz eléctrica;Drenaje;Internet;Cable;Computadora;Usa transporte público;Tarjeta RedQ;Automovil propio;Apoyo para traslados;Apoyo gubernamental;Tipo de apoyo;Escolaridad padre;Escolaridad madre;Ocupación padre;Trabajo de padre;Ingreso mensual de padre;Ocupación de madre;Trabajo de madre;Ingreso mensual de madre;Ingresos mensuales familiares;Hermanos;Edad hermano 1;Edad hermano 2;Edad hermano 3;Edad hermano 4;Edad hermano 5;Edad hermano 6;Edad hermano 7;Estudios de hermano 1;Estudios de hermano 2;Estudios de hermano 3;Estudios de hermano 4;Estudios de hermano 5;Estudios de hermano 6;Estudios de hermano 7;Nivel de estudios de hermano 1;Nivel de estudios de hermano 2;Nivel de estudios de hermano 3;Nivel de estudios de hermano 4;Nivel de estudios de hermano 5;Nivel de estudios de hermano 6;Nivel de estudios de hermano 7;UPQ Primera opción;¿Por qué no?;Minutos de trayecto a la universidad;Problema o padecimiento;¿Cuál?;Miembro de la familia con problema o padecimiento;¿Quién y cuál?;R. Verbal;R. Espacial;Fluidez verbal;Razonamiento matemático;Razonamiento abstracto;Actividad física;Arte;Cálculo;Mecánico;Comunicación;Empresas;Humanidades;Idiomas;Leyes;Música;Naturaleza;Salud;Servicio;Informática;Finanzas;Interpersonal;Lingüística;Lógica matemática;Motricidad fina;Musical;Naturaleza del entorno;Visual espacial;Motricidad gruesa;Intrapersonal;Naturaleza y salud;Comunicatividad;Empuje;Optimismo;Coherencia familiar;Autoestima;Creatividad;Autonomía;Adaptación;Negociación;Resilencia;Proactividad;Organización;Visual;Auditivo;Cinestésico;Motivación interna;Apoyo externo;El aspirante tiene buena vista;El aspirante cree tener adicciones (fumar, consumir alcohol o drogas);Hábitos de estudio;Tiene o ha tenido trastornos alimenticios (anorexia, bulimia, otros);Sufre de una enfermedad crónica (diabetes, asma, lupus u otra);Tiene buena audición;Técnicas de estudio;Máximo interés;Máxima inteligencia;Equilibrio emocional;Agrega comentarios y sugerencias sobre tu experiencia durante la prueba;Probabilidad Baja (%);BAJA;;
122044315;1er proceso;NI;;;;0;2004-10-06 00:00:00;Femenino;0;0;;;Querétaro;Querétaro;0;;;;0;No;;Propia;Familiares;4;padre;madre;hermano ;hermano;;;;;;;No;;Si;Si;Si;Si;Si;Sí, una computadora que NO es una laptop;Si;Si;Si;No;No;;Preparatoria;Secundaria;Trabaja;obrero en una empresa;8,47458E-05;Hogar;;0;0,00625;2;15;13;;18,14754098;21;24,30769231;30,5;Está cursando algún nivel;Está cursando algún nivel;;;;;;Bachillerato;Secundaria;;;;;;1;;0,010507569;0;;No;;0,75;0,98;70;0,99;0,89;62;99;0,32;0,27;0,82;99;92;99;71;41;75;44;0,9;0,49;0,99;92;92;51;94;54;94;83;20;89;73;85;81;37;99;74;4;72;37;93;80;70;98;44;33;22;100;100;Si;No;Si;No;No;Si;Si;99;99;90,5;los tiempos esta muy bien establecidos, se me dificulto la parte de las piezas de domino pero considero que fue una buena prueba y bien organizada ;11,44786644;0;;
122043797;1er proceso;NI;;;BAC;0;2004-02-10 00:00:00;Femenino;0;0;;;Queretaro ;Querétaro;0;;;;0;No;;Rentada;Familiares;4;mamá;papá;hermano ;hermana;;;;;;;No;;Si;Si;Si;Si;Si;Sí, una laptop;Si;Si;No;No;No;;Licenciatura (o grado después de preparatoria);Licenciatura (o grado después de preparatoria);Trabaja;empleado de una empresa ;0,000169492;Trabaja;empleada de un negocio ;0,01;0,01875;2;12;19;;18,14754098;21;24,30769231;30,5;Concluyó un nivel;Concluyó un nivel;;;;;;Primaria;Bachillerato;;;;;;1;;0,005164737;0;;No;;0,13;0,59;42;0,13;0,89;38;66;0,32;0,1;0,27;62;10;21;75;24;20;14;0,12;0,02;0,99;55;51;14;14;27;20;28;66;50;34;21;1;51;2;39;22;28;52;52;29;59;2;33;31;35;100;80;No;No;Si;No;No;Si;Si;99;89;52,5;Realmente de acuerdo con la pueba estoy satisfecha, solo tuve un pequeño inconveniemte, ya que concidero se debe de dar un poco mas de tiempo en la seccion de calculo mental, seria todo muchas gracias;5,718410969;0;;
122044354;1er proceso;NI;;;;0;1995-12-17 00:00:00;Femenino;0;0;;;VILLAHERMOSA ;Tabasco;0;;;;0;No;;Rentada;Solo;0;;;;;;;;;;;No;;Si;Si;Si;Si;No;Sí, una laptop;Si;No;No;No;No;;Primaria;Secundaria;Ninguno/No aplica;;0,000918232;Trabaja;COMERCIANTE;0,012;0,0075;3;25;33;31;18,14754098;21;24,30769231;30,5;Concluyó un nivel;Dejó algún nivel trunco;Dejó algún nivel trunco;;;;;Secundaria;Bachillerato;Secundaria;;;;;1;;0,00160285;1;ASMA;No;;0,79;0,35;75;0,92;0,55;99;4;0,18;0,06;0,58;99;38;17;71;7;26;14;0,65;0,1;0,99;75;39;36;64;7;13;33;87;89;80;42;92;78;52;99;58;99;85;88;95;70;81;44;26;28;100;40;Si;No;Si;No;Si;Si;No;99;92;82;Algunas preguntas no las pude contestar porque no me dio tiempo;5,811596394;0;;
122043925;1er proceso;NI;;;;0;2004-08-14 00:00:00;Masculino;0;0;;;Querétaro;Querétaro;0;;;;1000;Si;2;Propia;Familiares;3;Madre;Padre;Hermano;;;;;;;;No;;Si;Si;Si;Si;Si;Sí, una computadora que NO es una laptop;Si;No;No;Si;No;;Preparatoria;Secundaria;Trabaja;Obrero;0,00020339;Trabaja;Empleada;0,02;0,025;2;23;16;;18,14754098;21;24,30769231;30,5;Concluyó un nivel;Está cursando algún nivel;;;;;;Bachillerato;Bachillerato;;;;;;1;;0,005164737;0;;No;;0,18;0,46;18;0,92;0,66;17;95;0,8;0,76;0,12;41;78;40;20;73;56;61;0,1;0,99;0,37;3;61;78;35;72;71;61;28;5;59;7;18;16;2;10;9;18;7;0;29;33;11;37;33;28;100;80;Si;No;Si;No;No;Si;Si;99;92;4;Dar mas tiempo para la preuba de matematicas ;7,150635719;0;;
122044466;1er proceso;NI;;;;0;2003-12-31 00:00:00;Femenino;0;0;;;Querétaro;Querétaro;0;;;;0;No;;Propia;Familiares;3;Papá;Mamá;Hermano;;;;;;;;No;;Si;Si;Si;Si;Si;Sí, una laptop;Si;Si;No;Si;No;;Secundaria;Preparatoria;Trabaja;Taller mecánico;0,000254237;Trabaja;Oficina ;0,024;0,03375;1;23;;;18,14754098;21;24,30769231;30,5;Concluyó un nivel;;;;;;;Bachillerato;;;;;;;1;;0,003383793;0;;No;;0,37;0,95;11;0,61;0,96;17;71;0,63;0,01;0,12;62;26;60;20;15;60;23;0,31;0,05;0,61;4;8;24;35;3;0;15;2;19;4;42;42;16;9;17;32;12;15;5;29;45;47;40;33;26;100;100;Si;No;Si;No;No;Si;No;71;96;11,5;ninguno;6,808651447;0;;
122044479;1er proceso;NI;;;;0;2003-10-14 00:00:00;Femenino;0;0;;;queretaro;Querétaro;0;;;;0;No;;Propia;Familiares;5;mama;hermano;tia;abuelo;abuela;;;;;;No;;No;Si;No;Si;No;Sí, una computadora que NO es una laptop;Si;Si;No;Si;No;;Secundaria;Secundaria;Trabaja;obrero;3,38983E-05;Ninguno/No aplica;;0;0,01;1;13;;;18,14754098;21;24,30769231;30,5;Está cursando algún nivel;;;;;;;Secundaria;;;;;;;1;;0,005164737;0;;Si;mama. diabetes ;0,09;0,23;3;0,82;0,16;33;39;0,27;0,32;0,53;99;45;25;62;7;49;23;0,56;0,34;0,78;55;51;55;48;45;62;50;14;77;54;55;99;89;67;99;81;81;85;41;99;82;89;35;40;24;100;80;Si;No;Si;No;No;Si;Si;99;82;66;Se siente mucha presión por el poco límite de timpo que se da ya que son varias preguntas, sin embargo, sugiero que se extienda un poco más ese limite de tiempo para poder realizar la prueba. GRACIAS;7,096689224;0;;
122044414;1er proceso;NI;;;;0;2000-01-03 00:00:00;Masculino;0;0;;;San Juan del Río ;Querétaro;0;;;;0;No;;Propia;Familiares;0;;;;;;;;;;;No;;Si;Si;Si;Si;Si;Sí, una laptop;Si;No;No;No;No;;Secundaria;Secundaria;Ninguno/No aplica;;0;Hogar;;0;0,00625;3;31;30;23;18,14754098;21;24,30769231;30,5;Concluyó un nivel;Concluyó un nivel;Concluyó un nivel;;;;;Secundaria;Primaria;Secundaria;;;;;1;;0,003383793;0;;Si;Mamá tiene deabetes ;0,18;0,35;7;0,13;0,33;17;54;0,8;0,63;0,79;99;53;35;75;45;38;23;0,73;0,49;0,78;25;82;85;69;27;28;23;20;50;13;55;57;37;82;39;45;61;52;63;21;45;59;33;42;24;80;100;Si;No;Si;No;No;Si;Si;99;35;37,5;No estaba del todo preparado, pero me gustaría que hubiera una guía con ejercicios para estudiar y repasar un poco de los temas que incluyen.;11,07496071;0;;
122043954;1er proceso;NI;;;BAC;0;2003-04-03 00:00:00;Masculino;0;0;;;Querétaro;Querétaro;0;;;;0;No;;Propia;Familiares;2;Hijo;Hermano;;;;;;;;;No;;Si;Si;Si;Si;Si;Sí, una computadora que NO es una laptop;Si;Si;Si;Si;No;;Secundaria;Licenciatura (o grado después de preparatoria);Trabaja;Comerciante;0;Trabaja;Empleada;0,032;0,02;1;24;;;18,14754098;21;24,30769231;30,5;Está cursando algún nivel;;;;;;;Universidad;;;;;;;1;;0,005164737;0;;No;;0,2;0,71;15;0,82;0,75;82;39;0,04;0,29;0,79;76;26;83;78;86;32;78;0,31;0,12;0,78;44;19;6;9;83;23;28;66;9;29;3;2;10;20;17;32;2;52;41;3;21;7;31;33;35;80;80;Si;No;Si;No;No;Si;No;86;82;26,5;que pudieran agregar un poco mas de tiempo;6,156389236;0;;
122044410;1er proceso;NI;;;;0;2004-11-15 00:00:00;Femenino;0;0;;;queretaro;Querétaro;0;;;;0;Si;2;Propia;Familiares;3;mama;papa;hermano;;;;;;;;No;;Si;Si;Si;Si;Si;Sí, una laptop;Si;No;No;Si;No;;Preparatoria;Secundaria;Trabaja;estilista;8,47458E-05;Trabaja;estilista;0,004;0,006875;1;22;;;18,14754098;21;24,30769231;30,5;Concluyó un nivel;;;;;;;Bachillerato;;;;;;;1;;0,002493321;0;;No;;0,09;0,9;2;0,49;0,43;50;49;0,11;0,27;0,23;41;15;11;43;24;60;78;0,42;0,38;0,29;10;0;14;30;7;33;18;28;5;29;7;10;16;29;10;13;8;15;24;21;12;26;37;33;28;100;80;No;No;Si;No;No;Si;Si;78;90;7,5;me gusto la prueba he realizado otras y esta se realizo de una manera muy organizada y entendible ;7,896959782;0;;
122044652;1er proceso;NI;;;;0;2004-10-26 00:00:00;Femenino;0;0;;;Pedro Escobedo Querétaro ;Querétaro;0;;;;0;No;;Rentada;Familiares;3;Hermano;Padre ;Madre;;;;;;;;Si;1;Si;Si;No;Si;No;Sí, una computadora que NO es una laptop;Si;No;No;Si;No;;Primaria;Secundaria;Trabaja;Chófer ;5,08475E-05;Hogar;;0;0,005;1;19;;;18,14754098;21;24,30769231;30,5;Está cursando algún nivel;;;;;;;Universidad;;;;;;;1;;0,003383793;0;;No;;0,41;0,98;21;0,61;0,43;44;54;0,99;0,22;0,53;99;59;54;81;61;49;51;0,82;0,31;0,99;61;73;90;24;31;23;45;32;56;13;42;57;5;82;99;81;28;69;41;29;45;89;44;42;13;100;100;Si;No;Si;No;No;Si;Si;99;98;58,5;La prueba tiene un tiempo adecuado para cada pregunta, es una prueba completa en todos los aspectos ;10,87142372;0;;
